"교육청명","교육지원청명","유치원코드","유치원명","설립유형","독립편성학급수","오후재편성학급수","운영시간","독립편성참여원아수","오후재편성참여원아수","정규교사수","기간제교사수","강사수","공시차수","주소"
"서울특별시교육청","서부교육지원청","7752e1a7-0e79-4b17-a19c-846d041414e2","서울성서초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","23","0","0","3","20241","서울특별시 마포구 성미산로7길 24"
"서울특별시교육청","북부교육지원청","78c914ee-918a-42da-bb74-3214158a262e","서울쌍문초등학교병설유치원","공립(병설)","2","0","07시30분~19시30분","18","0","0","0","2","20241","서울특별시 도봉구 우이천로 360"
"서울특별시교육청","서부교육지원청","799c1c12-8e72-44b1-80ba-84c6907a6037","서울불광초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","30","0","0","2","20241","서울특별시 은평구 불광로 51"
"서울특별시교육청","서부교육지원청","7a2cc871-7f4c-4c45-b4a9-5610093f33fa","서울응암초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","36","0","0","2","20241","서울특별시 은평구 가좌로6길 20"
"서울특별시교육청","서부교육지원청","7a4a1b05-c84a-43b0-8f02-ebdbe5072f01","서울중동초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","36","0","0","2","20241","서울특별시 마포구 월드컵북로 152"
"서울특별시교육청","북부교육지원청","7b5c2e25-68ac-47e2-b661-53b594c85e6f","서울공연초등학교병설유치원","공립(병설)","0","1","07시30분~19시30분","0","17","0","0","1","20241","서울특별시 노원구 동일로192가길 16"
"서울특별시교육청","강남서초교육지원청","7c71b778-6703-48da-ab25-12aa540fccaf","서울양재유치원","공립(단설)","0","7","07시30분~19시30분","0","97","0","0","7","20241","서울특별시 서초구 바우뫼로18길 14"
"서울특별시교육청","성북강북교육지원청","7e0ce4f2-8d6e-4568-9e83-17a353fee72b","서울송천초등학교병설유치원","공립(병설)","0","1","07시00분~19시00분","","14","0","0","2","20241","서울특별시 강북구 삼양로20길 29"
"서울특별시교육청","동부교육지원청","7e75b6b8-7dcb-4645-85e7-3656fce0c528","서울전곡초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","31","0","0","2","20241","서울특별시 동대문구 전농로 172"
"서울특별시교육청","성북강북교육지원청","7ec89e9b-5287-4ece-b0d3-24499defde1b","서울장위초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","31","0","0","3","20241","서울특별시 성북구 장월로8가길 41"
"서울특별시교육청","강동송파교육지원청","7f130073-a125-4e1f-ac7a-0d743c58822b","서울영풍초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","0","34","0","0","2","20241","서울특별시 송파구 오금로57길 15"
"서울특별시교육청","강동송파교육지원청","7f2f03dd-4d3c-4cbc-bfd3-f88b47041426","서울위례솔초등학교병설유치원","공립(병설)","0","3","07시30분~19시30분","","54","0","0","3","20241","서울특별시 송파구 위례북로2길 12"
"서울특별시교육청","서부교육지원청","8029c453-5828-459d-86ad-38f5de7ecda7","서울가재울초등학교병설유치원","공립(병설)","0","4","07시00분~19시00분","","60","0","0","5","20241","서울특별시 서대문구 모래내로15길 61"
"서울특별시교육청","강서양천교육지원청","8114e0a3-e56e-47e5-a5d6-c2eef91cbed7","서울탑산초등학교병설유치원","공립(병설)","0","2","07시00분~19시00분","0","27","0","0","2","20241","서울특별시 강서구 허준로 109"
"서울특별시교육청","강남서초교육지원청","830ff6c0-a6e8-4d8e-9aee-9c018c1660cf","서울청계숲유치원","공립(단설)","0","5","07시30분~19시30분","0","69","0","0","5","20241","서울특별시 서초구 청계산로11길 14"
"서울특별시교육청","동작관악교육지원청","83817fd0-0833-41c3-9e8f-e368a1545128","서울남현유치원","공립(단설)","0","4","07시30분~19시30분","0","55","0","0","4","20241","서울특별시 관악구 남현4길 51"
"서울특별시교육청","북부교육지원청","86a6794b-12d6-4ee1-b47c-f03260e69af8","서울가인초등학교병설유치원","공립(병설)","0","1","07시30분~19시30분","0","9","0","0","1","20241","서울특별시 도봉구 도봉로136다길 4"
"서울특별시교육청","동작관악교육지원청","888935f2-ff3d-497c-8cc4-96351b70533c","서울신봉초등학교병설유치원","공립(병설)","0","2","07시30분~20시00분","0","28","0","0","2","20241","서울특별시 관악구 양녕로6나길 1"
"서울특별시교육청","동작관악교육지원청","89e2307e-5deb-45c1-84c3-670f209825f3","서울행림초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","17","0","0","2","20241","서울특별시 동작구 솔밭로 47"
"서울특별시교육청","남부교육지원청","89ed1bdc-67a2-4124-a077-bc925d6a901a","서울항동유치원","공립(단설)","0","5","07시00분~20시00분","0","89","0","0","5","20241","서울특별시 구로구 연동로8길 15"
"서울특별시교육청","동작관악교육지원청","8a1d9a31-65ba-4f9e-b5dd-dc6a8169ce73","서울은로유치원","공립(단설)","0","5","07시30분~19시30분","","90","0","0","5","20241","서울특별시 동작구 서달로 115"
"서울특별시교육청","강서양천교육지원청","8abcadee-6df5-4c85-9e38-cba5a2d519a5","서울양동초등학교병설유치원","공립(병설)","0","3","07시30분~19시30분","","39","3","0","0","20241","서울특별시 양천구 오목로23길 24"
"서울특별시교육청","강동송파교육지원청","8cd5853a-2caf-4ed7-89dd-c505aac27823","선아유치원","사립(사인)","0","3","08시30분~18시00분","0","65","3","0","0","20241","서울특별시 강동구 구천면로 650"
"서울특별시교육청","강서양천교육지원청","8fe5f3aa-d57f-4d30-bf63-09e1b5ab5633","서울신월초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","24","0","0","0","20241","서울특별시 강서구 강서로31길 48"
"서울특별시교육청","성동광진교육지원청","907fd160-25a1-4048-8de4-27e545ebd656","서울금호초등학교병설유치원","공립(병설)","0","2","07시00분~20시00분","0","27","0","0","2","20241","서울특별시 성동구 무수막길 69"
"서울특별시교육청","북부교육지원청","90accaf4-0b0f-42a0-bf14-dabb5c82db9f","서울방학유치원","공립(단설)","0","5","07시30분~19시30분","","61","0","0","5","20241","서울특별시 도봉구 도당로6길 14-11"
"서울특별시교육청","성북강북교육지원청","9236ee2c-f1f2-4550-911b-4ee00ac5dc2d","서울좋은소리유치원분원","공립(단설)","1","2","07시20분~19시20분","12","34","0","0","3","20241","서울특별시 성북구 숭인로 50"
"서울특별시교육청","북부교육지원청","9274b95a-f964-4434-aa72-f188312b1983","서울오봉초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","18","0","0","2","20241","서울특별시 도봉구 시루봉로 285"
"서울특별시교육청","동부교육지원청","94432cea-3906-4d55-bf04-527173edcac1","서울중랑초등학교병설유치원","공립(병설)","0","2","07시30분~19시30분","","36","0","0","2","20241","서울특별시 중랑구 봉우재로6길 26"
"서울특별시교육청","강동송파교육지원청","98918a25-18ce-48c6-8188-620954527bc8","서울솔가람유치원분원","공립(단설)","0","2","07시30분~19시30분","0","33","0","0","2","20241","서울특별시 송파구 위례순환로 477"
"서울특별시교육청","강서양천교육지원청","9c26aa7f-0f07-4613-9136-4984c723803f","꿈꾸는유치원","사립(사인)","0","3","08시00분~18시30분","0","138","3","0","1","20241","서울특별시 양천구 오목로4길 8"
"서울특별시교육청","서부교육지원청","a4246c73-08e0-4da3-8211-ad2976de52ea","은평하랑유치원","사립(사인)","0","4","07시30분~19시30분","0","80","4","0","0","20241","서울특별시 은평구 은평로16길 9-1"
"서울특별시교육청","강서양천교육지원청","a59a057e-4f5c-411a-bb2a-60068691c766","세신유치원","사립(법인)","0","4","07시00분~20시00분","0","83","4","0","2","20241","서울특별시 양천구 목동동로1길 38"
"서울특별시교육청","서부교육지원청","abfb8257-6e64-417e-9fb4-1e145a31f5fe","서울산울림유치원","공립(단설)","0","4","07시00분~19시00분","0","70","0","0","5","20241","서울특별시 은평구 진관4로 93"
"서울특별시교육청","동작관악교육지원청","afaeef71-68b6-4a13-acd4-cb8285459fb9","서울본동초등학교병설유치원","공립(병설)","0","1","07시00분~19시30분","","7","0","0","2","20221","서울특별시 동작구 노량진로26길 16-40"
