교육청명,교육지원청명,유치원코드,유치원명,설립유형,실내공기질 점검일자,실내공기질 점검결과,정기소독 의무대상시설여부,정기소독 점검일자,정기소독 점검결과,음용수종류(먹는샘물(생수)),음용수종류(정수기),음용수종류(상수도),음용수종류(지하수),지하수사용시 수질 검사여부,지하수사용시 검사일자,지하수사용시 검사결과,미세먼지 검사일자,미세먼지 검사결과,조도관리 검사일자,조도관리 검사결과,공시차수,주소
서울특별시교육청,북부교육지원청,1ecec08c-fc09-b044-e053-0a32095ab044,염광유치원,사립(법인),20210423,적합,Y,20210914,실시,-,O,-,-,N,-,-,20210423,-,20210423,-,20212,서울특별시 노원구 월계로45가길 9
서울특별시교육청,북부교육지원청,1ecec08c-fc37-b044-e053-0a32095ab044,산내들유치원,사립(사인),20240530,적합,Y,20240722,실시,-,O,-,-,N,-,-,20240530,-,20240530,-,20242,서울특별시 노원구 공릉로46길 32
서울특별시교육청,북부교육지원청,1ecec08c-fd0f-b044-e053-0a32095ab044,미광유치원,사립(사인),20240909,적합,Y,20240921,실시,-,O,-,-,N,-,-,20240909,-,20240909,-,20242,서울특별시 노원구 공릉로34길 62
서울특별시교육청,북부교육지원청,1ecec08c-fd16-b044-e053-0a32095ab044,청암유치원,사립(사인),20200821,적합,Y,20201008,실시,-,O,-,-,N,-,-,20200821,-,20200821,-,20202,서울특별시 노원구 중계로 244
서울특별시교육청,북부교육지원청,1ecec08c-fd17-b044-e053-0a32095ab044,풍천유치원,사립(사인),20240605,적합,Y,20240828,실시,-,O,-,-,N,-,-,20240605,-,20240605,-,20242,서울특별시 노원구 노원로 522
서울특별시교육청,북부교육지원청,1ecec08c-fd18-b044-e053-0a32095ab044,하늘유치원,사립(사인),20240626,적합,Y,20240920,실시,-,O,-,-,N,-,-,20240626,-,20240626,-,20242,서울특별시 노원구 초안산로 89
서울특별시교육청,북부교육지원청,1ecec08c-fe07-b044-e053-0a32095ab044,서울공릉초등학교병설유치원,공립(병설),20240619,적합,Y,20240824,실시,-,-,O,-,N,-,-,20240619,-,20240619,-,20242,서울특별시 노원구 동일로173길 12
서울특별시교육청,북부교육지원청,1ecec08c-fe4c-b044-e053-0a32095ab044,아이디유치원,사립(사인),20240530,적합,Y,20240830,실시,-,O,-,-,N,-,-,20240530,-,20240830,-,20242,서울특별시 노원구 동일로221길 32
서울특별시교육청,북부교육지원청,1ecec08c-ff21-b044-e053-0a32095ab044,학림유치원,사립(사인),20180906,적합,Y,20180920,실시,-,O,-,-,N,-,-,20180906,-,20180906,-,20182,서울특별시 노원구 상계로7길 25
서울특별시교육청,북부교육지원청,1ecec08d-006c-b044-e053-0a32095ab044,서울신상계초등학교병설유치원,공립(병설),20240312,적합,Y,20240907,실시,-,O,-,-,N,-,-,20240312,-,20240312,-,20242,서울특별시 노원구 상계로 267
서울특별시교육청,북부교육지원청,1ecec08d-006e-b044-e053-0a32095ab044,양지유치원,사립(사인),20190822,적합,Y,20201030,실시,-,O,-,-,N,-,-,20201030,-,-,-,20202,서울특별시 노원구 노원로30길 45
서울특별시교육청,북부교육지원청,1ecec08d-008e-b044-e053-0a32095ab044,무지개유치원,사립(법인),20240910,적합,Y,20240816,실시,-,O,O,-,N,-,-,20240910,-,20240910,-,20242,서울특별시 노원구 덕릉로94가길 54
서울특별시교육청,북부교육지원청,1ecec08d-014f-b044-e053-0a32095ab044,동은유치원,사립(사인),20201019,적합,Y,20200929,실시,-,O,O,-,N,-,-,20201019,-,20201019,-,20202,서울특별시 노원구 동일로207길 23
서울특별시교육청,북부교육지원청,1ecec08d-0150-b044-e053-0a32095ab044,두솔유치원,사립(사인),20240530,적합,Y,20240925,실시,-,O,-,-,N,-,-,20240530,-,20231031,-,20242,서울특별시 노원구 초안산로 19
서울특별시교육청,북부교육지원청,1ecec08d-0151-b044-e053-0a32095ab044,새봄유치원,사립(사인),20190708,적합,Y,20190807,실시,-,O,-,-,N,-,-,20190708,-,20190708,-,20192,서울특별시 노원구 동일로245길 162
서울특별시교육청,북부교육지원청,1ecec08d-04a5-b044-e053-0a32095ab044,성북유치원,사립(사인),20201020,적합,Y,20201008,실시,-,O,-,-,N,-,-,20201020,-,20201020,-,20202,서울특별시 노원구 광운로17길 5-3
서울특별시교육청,북부교육지원청,1ecec08d-04a6-b044-e053-0a32095ab044,성실유치원,사립(사인),20240507,적합,Y,20240828,실시,-,O,-,-,N,-,-,20240507,-,20240507,-,20242,서울특별시 노원구 한글비석로1길 28
서울특별시교육청,북부교육지원청,1ecec08d-04a7-b044-e053-0a32095ab044,예진유치원,사립(사인),20240530,적합,Y,20240919,실시,-,O,-,-,N,-,-,20240530,-,20240530,-,20242,서울특별시 노원구 섬밭로 123
서울특별시교육청,북부교육지원청,1ecec08d-04c6-b044-e053-0a32095ab044,다연유치원,사립(사인),20240426,적합,Y,20240823,실시,-,O,-,-,N,-,-,20240426,-,20240426,-,20242,서울특별시 노원구 월계로45가길 94
